id,sex,age,marital,child,educ,source,smoke,smokenum,op1,op2,op3,op4,op5,op6,mast1,mast2,mast3,mast4,mast5,mast6,mast7,pn1,pn2,pn3,pn4,pn5,pn6,pn7,pn8,pn9,pn10,pn11,pn12,pn13,pn14,pn15,pn16,pn17,pn18,pn19,pn20,lifsat1,lifsat2,lifsat3,lifsat4,lifsat5,pss1,pss2,pss3,pss4,pss5,pss6,pss7,pss8,pss9,pss10,sest1,sest2,sest3,sest4,sest5,sest6,sest7,sest8,sest9,sest10,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,Rop2,Rop4,Rop6,Rmast1,Rmast3,Rmast4,Rmast6,Rmast7,Rpss4,Rpss5,Rpss7,Rpss8,Rsest3,Rsest5,Rsest7,Rsest9,Rsest10,Rpc1,Rpc2,Rpc7,Rpc11,Rpc15,Rpc16,toptim,tmast,tposaff,tnegaff,tlifesat,tpstress,tslfest,tmarlow,tpcoiss,agegp3,agegp5,educrec,LG10negaff,MAH_1,COO_1,MAH_2
138,MALES,27,SINGLE,NO,COMPLETED HIGHSCHOOL,WORK,YES,100,5,1,5,1,5,1,1,4,1,1,4,1,4,4,4,3,4,2,5,4,4,5,2,3,3,4,2,4,4,4,4,5,4,5,5,5,5,3,2,2,5,5,4,2,4,3,1,3,4,4,1,4,1,3,3,3,1,2,1,0,1,0,0,0,0,0,0,0,4,2,2,3,5,1,5,2,3,3,5,5,2,1,2,4,2,5,5,5,5,4,4,4,4,1,1,2,2,3,4,4,2,4,3,2,4,1,1,4,2,30,25,41,33,23,23,35,2,48,18 - 29,25 - 32,completed high school,1.5185139398778875,3.6610514169408184,0.0031414738765394522,11.136865554292607
184,FEMALES,34,MARRIED FIRST TIME,YES,COMPLETED UNDERGRADUATE,FAMILY,NO,0,4,1,4,1,5,1,1,4,1,1,4,3,1,4,5,3,4,1,4,3,4,3,1,4,4,4,2,3,1,5,3,2,2,6,7,6,7,5,2,1,2,5,5,2,4,4,1,2,4,4,1,1,1,4,1,4,1,1,0,1,1,0,1,0,1,1,0,1,3,4,2,4,5,3,3,1,2,2,5,3,2,2,4,4,2,2,5,5,5,4,4,4,2,4,1,1,2,2,4,4,4,4,4,3,2,3,1,2,2,28,26,37,25,31,16,37,6,43,30 - 44,33 - 40,completed undergrad uni,1.3979400086720377,6.771263966862631,0.04319952751936011,11.00690944157893
183,MALES,35,SINGLE,NO,SOME ADDITIONAL TRAINING,LIFE IN GENERAL,NO,0,2,4,5,5,2,2,3,4,3,3,2,3,2,2,2,3,1,2,1,1,2,1,1,3,1,1,2,1,1,1,1,2,2,1,1,1,1,1,3,5,4,3,3,3,3,3,4,3,2,3,2,2,2,1,3,3,3,3,0,0,1,1,1,0,1,1,0,0,3,2,3,4,3,2,4,2,4,3,4,1,4,2,2,2,2,3,2,1,4,2,2,2,2,3,3,3,3,3,3,3,2,2,2,3,4,2,2,4,4,16,17,11,20,5,34,23,5,52,30 - 44,33 - 40,some additional training,1.3010299956639813,1.4524863940886605,8.230486313564365e-4,10.863432644693011
144,FEMALES,43,MARRIED FIRST TIME,YES,SOME SECONDARY,SPOUSE OR PARTNER,NO,,4,3,3,3,4,3,3,4,2,2,4,4,4,3,5,1,1,5,5,1,4,1,5,5,1,1,1,1,5,1,1,5,5,1,1,2,2,2,4,4,4,2,1,5,1,1,1,5,4,4,1,1,1,3,4,3,3,4,0,1,1,1,0,0,0,0,0,0,3,5,1,1,1,1,5,3,1,3,3,1,4,1,5,5,1,1,3,3,3,2,3,3,1,1,4,5,5,5,4,4,1,2,1,3,1,1,3,1,1,20,18,16,39,8,42,27,3,29,30 - 44,41 - 49,did not complete high school,1.6127838567197355,7.211568108274179,0.019913378213156255,10.709394117212076
57,MALES,50,MARRIED FIRST TIME,YES,SOME ADDITIONAL TRAINING,WORK,NO,0,4,3,1,4,4,3,2,4,2,2,3,2,3,1,1,1,3,1,5,3,3,3,1,5,1,1,1,1,1,1,1,1,1,5,5,5,6,6,3,2,3,5,4,1,5,5,3,2,4,4,1,4,1,3,1,3,1,1,0,1,1,0,0,0,1,1,0,1,3,4,5,3,4,2,1,4,3,4,1,3,4,3,1,2,3,3,3,2,3,3,3,3,3,2,1,2,1,1,4,4,4,4,4,3,2,5,5,5,4,17,21,20,16,27,19,38,5,65,45+,50+,some additional training,1.2041199826559248,0.33385729516802937,0.00318284391206705,9.650618044251708
491,MALES,57,MARRIED FIRST TIME,NO,SOME ADDITIONAL TRAINING,HEALTH/ILLNESS,YES,200,1,3,5,3,1,5,4,4,1,3,2,4,4,3,3,5,1,5,5,2,4,3,1,3,1,3,5,1,4,3,3,5,2,1,1,1,3,1,3,4,4,2,5,3,4,5,3,5,1,4,2,4,2,2,4,1,2,2,1,1,1,0,0,0,0,0,0,0,5,3,4,2,1,2,3,2,3,4,1,4,2,4,2,2,4,5,3,3,1,1,4,2,1,1,4,1,2,1,3,3,1,3,3,1,3,3,5,4,4,14,15,25,37,7,30,25,3,57,45+,50+,some additional training,1.568201724066995,3.372079460069482,4.857985764822853e-4,9.556242499092294
41,FEMALES,37,SEPARATED,YES,COMPLETED HIGHSCHOOL,WORK,NO,0,3,3,3,2,3,3,3,3,1,1,4,2,2,3,5,3,1,5,3,3,4,1,5,5,1,2,2,1,5,2,2,4,5,2,2,2,6,2,5,5,5,2,3,2,3,3,5,5,2,2,3,2,2,1,4,1,3,3,1,1,1,1,1,0,0,1,0,0,4,3,2,2,1,2,3,2,2,3,4,2,2,2,5,4,2,3,3,4,3,2,4,4,3,3,4,3,3,3,2,3,1,2,2,2,3,3,2,1,2,19,23,19,39,14,40,18,6,38,30 - 44,33 - 40,completed high school,1.6334684555795864,5.862008814893537,0.030894850471412643,9.234222569580163
6,FEMALES,41,DIVORCED,YES,POSTGRADUATE COMPLETED,WORK,NO,0,4,3,4,2,4,4,3,4,4,4,2,2,2,3,4,1,2,2,4,2,2,3,4,4,1,2,1,1,2,3,2,2,2,5,4,5,5,2,4,4,4,3,2,5,2,2,5,5,4,4,1,4,1,3,3,4,3,1,0,0,1,1,0,0,1,0,0,1,2,3,5,4,5,2,3,4,4,4,3,3,4,3,2,2,3,4,3,4,2,2,1,1,3,3,3,4,4,4,4,4,2,2,4,4,3,3,3,4,4,21,16,23,24,21,42,35,4,66,30 - 44,41 - 49,completed postgrad uni,1.380211241711606,4.098175569382573,0.03565627658718011,9.215613561421055
157,FEMALES,19,SINGLE,NO,COMPLETED HIGHSCHOOL,LIFE IN GENERAL,NO,0,4,4,4,4,2,3,3,2,3,3,4,4,4,2,5,5,3,4,2,3,2,1,1,3,2,2,5,3,3,2,2,5,3,3,1,2,1,2,5,5,5,3,2,5,3,2,5,5,4,4,4,3,3,2,4,2,4,4,0,1,1,0,0,0,0,1,0,0,4,5,2,2,3,4,5,2,3,3,3,3,1,1,5,5,1,3,2,2,3,2,2,2,1,1,3,4,3,4,1,2,1,1,1,2,1,1,3,1,1,17,14,22,36,9,44,21,3,37,18 - 29,18 - 24,completed high school,1.5563025007672873,5.071013662509704,0.018358488296144473,9.045806688924452
287,FEMALES,25,SINGLE,NO,COMPLETED UNDERGRADUATE,WORK,NO,0,4,2,3,1,5,1,1,4,1,3,4,2,1,4,4,5,1,2,3,2,5,2,1,5,3,3,5,3,2,3,3,5,5,1,1,4,7,7,3,4,5,4,3,3,3,2,1,5,4,4,1,3,1,3,1,4,3,1,1,1,1,1,1,0,1,1,1,1,3,4,2,3,5,3,5,4,4,3,1,5,4,3,2,1,5,5,4,5,5,4,4,2,3,4,2,3,3,4,4,4,4,2,4,3,2,1,5,4,5,26,25,27,39,20,33,36,9,66,18 - 29,25 - 32,completed undergrad uni,1.591064607026499,0.6654242193689206,0.0061438534224315606,9.03069324332308
53,MALES,23,SINGLE,NO,COMPLETED HIGHSCHOOL,WORK,NO,,4,5,3,4,2,4,3,3,2,3,3,1,2,4,2,2,2,3,5,1,2,2,2,2,2,1,2,3,2,1,1,1,1,4,4,2,2,5,3,3,4,2,2,4,3,2,5,5,3,3,2,2,3,2,2,3,2,1,0,0,0,0,0,0,0,0,1,0,1,5,3,2,3,2,4,1,3,3,4,3,2,2,4,4,2,1,1,2,2,2,3,2,4,3,4,4,3,4,3,2,3,3,4,5,1,2,2,2,2,14,20,22,19,17,39,28,1,41,18 - 29,18 - 24,completed high school,1.2787536009528289,2.910034036846378,0.010204610929408832,8.966103044117421
330,FEMALES,53,MARRIED FIRST TIME,NO,SOME SECONDARY,HEALTH/ILLNESS,NO,0,3,5,5,5,2,5,4,2,4,4,4,4,4,2,5,1,1,1,4,1,5,1,5,5,1,2,2,1,1,1,3,5,5,7,6,7,2,1,5,5,5,5,1,5,3,3,5,5,4,3,4,3,4,1,4,2,3,3,1,1,1,0,0,0,1,0,0,0,5,4,2,5,5,5,5,5,4,4,5,3,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,5,3,3,1,1,1,2,2,1,2,1,1,1,1,13,11,17,35,23,42,20,4,60,45+,50+,did not complete high school,1.5440680443502757,9.888168960801268,0.03501476738349707,8.794407989329223
379,FEMALES,47,MARRIED FIRST TIME,YES,SOME ADDITIONAL TRAINING,WORK,NO,0,5,4,5,2,5,2,2,3,3,3,4,3,1,5,3,3,4,3,5,5,4,5,4,4,5,4,3,5,3,5,3,3,2,6,6,6,7,7,5,3,4,5,3,3,3,4,3,2,4,4,1,4,1,4,3,4,1,1,1,1,1,1,1,0,0,1,0,0,2,2,5,5,5,5,2,2,4,5,1,5,4,4,3,3,3,4,2,4,4,3,2,2,2,4,1,3,3,2,4,4,2,4,4,4,4,4,5,3,3,25,20,46,32,32,29,38,6,74,45+,41 - 49,some additional training,1.505149978319906,2.687482895797888,0.001991027475930945,8.700527494517132
59,FEMALES,36,SEPARATED,YES,SOME SECONDARY,WORK,NO,0,2,4,3,4,3,4,2,3,2,2,4,2,3,5,4,4,3,4,5,3,4,3,5,3,2,2,4,2,4,2,4,4,4,3,4,4,3,6,3,3,4,3,2,3,2,3,4,3,4,4,2,3,3,3,3,3,3,2,1,1,1,1,1,0,0,1,1,0,2,4,4,2,4,3,3,2,5,4,1,3,3,3,4,4,2,3,2,2,2,3,3,3,3,2,3,4,4,3,3,2,2,2,3,4,2,3,5,2,2,14,21,31,39,20,34,29,7,56,30 - 44,33 - 40,did not complete high school,1.6020599913279623,0.1490529458045848,0.0017725158038427577,8.373826604034356
416,MALES,21,SINGLE,NO,COMPLETED HIGHSCHOOL,WORK,NO,,3,3,3,3,5,2,2,3,3,3,3,3,3,4,4,4,3,2,5,4,5,2,2,5,4,2,4,4,1,4,4,5,5,4,5,5,5,4,3,4,5,5,3,5,4,4,3,3,4,4,1,3,4,4,1,3,3,3,0,1,0,0,0,0,1,0,0,0,5,5,3,4,2,2,5,3,3,2,4,3,2,2,2,2,4,3,3,3,4,3,2,2,2,2,1,3,2,2,4,1,4,2,2,1,1,1,2,4,4,21,17,36,37,23,31,31,2,46,18 - 29,18 - 24,completed high school,1.568201724066995,1.926646846433969,2.059886503267226e-4,8.287450032222923
508,FEMALES,26,LIVING WITH PARTNER,YES,COMPLETED UNDERGRADUATE,WORK,NO,0,4,2,4,2,4,2,3,2,2,3,3,1,1,5,3,2,4,1,4,3,1,4,1,2,3,4,1,2,1,4,5,1,1,3,4,5,5,3,4,4,4,3,3,2,4,3,5,4,4,4,1,4,1,3,2,4,3,1,1,1,1,0,0,0,1,0,0,0,2,4,2,4,4,2,3,2,3,3,3,4,2,2,2,2,3,3,4,4,4,2,3,2,4,4,3,3,2,3,4,4,3,2,4,4,2,3,3,4,4,24,20,38,14,20,34,36,4,54,18 - 29,25 - 32,completed undergrad uni,1.146128035678238,0.3392054353397031,0.001448510983477224,7.938844524682426
116,FEMALES,48,REMARRIED,YES,SOME ADDITIONAL TRAINING,WORK,NO,0,3,3,3,3,4,2,3,3,3,3,3,3,4,4,5,5,4,1,2,3,5,3,5,5,2,3,5,4,2,3,3,5,3,3,5,5,5,1,5,4,5,3,3,5,3,3,2,4,4,4,2,4,3,3,1,3,2,2,1,1,1,1,1,0,0,0,0,0,5,4,3,3,2,2,4,3,4,4,4,2,1,1,5,5,1,2,3,3,4,2,2,2,2,1,3,3,3,3,3,2,4,3,3,1,2,2,2,1,1,20,15,31,39,19,37,33,5,37,45+,41 - 49,some additional training,1.6127838567197355,4.515629345516074,8.759797012393136e-4,7.854846718427388
422,FEMALES,24,SINGLE,NO,SOME ADDITIONAL TRAINING,WORK,NO,,3,1,4,2,5,1,3,4,2,2,3,3,4,3,5,4,3,1,4,3,5,4,3,3,2,4,4,3,2,3,4,5,5,6,5,7,5,4,3,3,4,3,4,3,3,4,4,4,4,4,1,4,1,3,2,3,2,1,0,1,1,0,0,0,0,0,0,0,3,3,3,4,4,5,3,3,3,4,3,4,2,3,2,2,4,4,5,4,5,2,3,3,2,1,3,2,3,2,4,4,3,3,4,3,3,3,3,4,4,26,18,33,37,27,31,36,2,63,18 - 29,18 - 24,some additional training,1.568201724066995,1.5554574827080005,6.054861975381485e-4,7.840841479489197
87,MALES,25,SINGLE,NO,COMPLETED UNDERGRADUATE,WORK,NO,0,3,3,4,2,4,3,2,3,1,1,3,2,2,3,1,1,2,2,2,2,2,2,1,3,1,1,1,2,2,2,4,1,1,5,6,5,5,4,1,2,3,4,3,2,5,3,2,1,4,4,1,4,1,3,1,4,2,1,0,1,1,0,1,0,0,1,0,0,2,3,3,3,4,5,3,2,4,3,3,3,3,4,2,2,4,5,3,4,3,3,4,4,3,3,2,3,1,3,4,4,4,3,4,4,3,3,3,4,4,21,23,21,15,25,20,38,4,64,18 - 29,25 - 32,completed undergrad uni,1.1760912590556813,0.11654664224468703,0.0013831516254545252,7.705698752195968
434,FEMALES,47,MARRIED FIRST TIME,YES,COMPLETED HIGHSCHOOL,MONEY/FINANCES,NO,0,2,5,2,5,4,4,4,2,3,4,3,3,2,2,4,1,1,1,3,1,2,1,2,4,1,2,1,1,1,1,1,3,3,1,1,1,1,1,3,4,4,3,2,3,4,4,4,3,2,2,2,2,2,1,3,2,4,3,1,1,1,1,1,1,1,1,1,0,2,3,3,3,3,,4,1,1,2,2,4,3,3,4,4,1,3,1,1,2,1,2,1,2,3,3,4,2,2,3,3,2,1,2,4,3,2,4,2,2,12,14,14,22,5,32,20,9,,45+,41 - 49,completed high school,1.3424226808222062,,,7.594297604554197
264,MALES,18,SINGLE,NO,COMPLETED HIGHSCHOOL,LIFE IN GENERAL,NO,0,4,1,5,1,5,1,1,2,1,1,2,3,1,1,5,4,5,1,5,5,5,1,5,5,1,2,4,1,1,1,5,1,1,7,7,5,7,1,5,4,2,4,3,1,5,3,1,4,4,4,2,3,1,2,4,2,4,2,1,1,1,0,1,1,1,0,0,0,1,1,1,5,2,1,4,1,5,5,5,5,5,5,1,1,1,5,5,5,5,4,4,4,2,4,2,3,1,3,3,4,1,1,3,5,5,2,1,5,5,29,22,27,32,27,26,27,6,64,18 - 29,18 - 24,completed high school,1.505149978319906,0.08967292904225356,7.050506816639617e-9,7.53967788424217
442,FEMALES,24,MARRIED FIRST TIME,NO,SOME ADDITIONAL TRAINING,WORK,YES,150,2,5,3,5,1,5,3,2,3,3,2,4,4,3,5,4,1,1,1,2,5,1,3,3,1,2,2,2,1,3,2,4,4,2,2,3,1,3,4,4,5,2,2,3,3,2,5,5,3,3,2,3,3,2,4,2,4,2,1,1,1,1,0,0,1,1,1,0,5,5,2,1,1,1,5,1,1,2,5,1,1,1,5,5,1,2,1,1,1,2,2,2,1,1,4,4,3,4,3,2,1,1,3,1,1,1,1,1,1,9,12,18,32,11,41,23,7,21,18 - 29,18 - 24,some additional training,1.505149978319906,11.678888294613301,8.547851113488733e-4,7.435980416392291
540,MALES,36,MARRIED FIRST TIME,YES,SOME ADDITIONAL TRAINING,MONEY/FINANCES,NO,0,3,1,3,1,4,4,2,4,3,1,3,3,2,4,2,1,1,1,3,4,1,3,2,2,1,3,1,1,1,3,4,1,1,5,5,5,7,5,2,1,2,5,4,2,4,5,2,1,4,4,1,3,1,3,3,3,1,1,1,1,1,0,0,0,1,1,0,0,1,4,5,2,5,3,4,4,5,4,1,3,4,3,3,3,3,4,5,5,2,3,2,4,2,3,1,2,2,1,4,4,2,4,4,5,2,2,5,3,3,22,21,27,13,27,16,35,5,65,30 - 44,33 - 40,some additional training,1.1139433523068367,0.33385729516802937,0.006268356816208702,7.288736191042617
470,FEMALES,49,REMARRIED,YES,SOME SECONDARY,FAMILY,NO,0,4,1,4,1,5,2,2,4,1,2,4,1,1,3,3,1,4,1,3,2,1,3,1,2,2,2,1,2,1,2,1,2,1,5,5,5,5,5,2,2,3,4,4,1,4,4,1,1,3,3,1,3,1,3,2,3,1,1,1,1,1,1,1,0,1,1,0,1,2,2,4,4,4,3,1,4,4,4,2,4,4,4,2,2,4,4,5,5,4,3,4,3,4,4,2,2,2,2,4,4,3,4,4,4,4,5,4,4,4,27,26,24,14,25,18,34,8,72,45+,41 - 49,did not complete high school,1.146128035678238,1.3511941063892519,0.00170047657430261,7.2800565449863415
252,FEMALES,21,STEADY RELATIONSHIP,NO,COMPLETED UNDERGRADUATE,WORK,NO,0,4,1,3,1,4,1,1,4,1,1,4,1,3,2,1,1,3,1,3,1,4,2,2,3,1,3,1,3,3,2,2,2,2,6,6,6,6,3,2,2,3,4,4,2,4,4,2,2,4,4,1,4,1,4,1,3,1,1,0,1,1,1,1,0,1,0,0,0,3,2,5,4,4,3,1,2,3,3,4,4,3,4,2,2,3,3,5,5,5,4,4,4,4,2,2,2,2,2,4,4,4,4,4,3,4,5,2,4,4,26,26,22,20,27,21,39,5,63,18 - 29,18 - 24,completed undergrad uni,1.3010299956639813,1.3141761020558584,7.11367848936654e-4,7.1680596354552275
338,FEMALES,45,REMARRIED,YES,SOME ADDITIONAL TRAINING,WORK,YES,30,2,5,2,5,5,1,3,4,1,1,4,1,2,5,1,1,4,1,5,5,1,5,1,1,5,4,1,4,1,5,4,1,1,1,7,7,7,5,2,2,4,5,4,4,4,4,4,4,4,4,1,1,1,4,1,4,1,1,1,1,1,0,1,1,1,0,0,0,1,3,4,4,4,3,3,4,2,4,4,4,4,3,3,3,3,4,1,1,5,2,4,4,4,3,1,2,2,2,4,4,4,4,4,5,3,3,2,3,3,16,25,46,10,27,27,37,6,62,45+,41 - 49,some additional training,1,0.7962853497266577,5.000611764950626e-4,7.139824367602292
517,MALES,18,SINGLE,NO,COMPLETED HIGHSCHOOL,RELATIONSHIPS,NO,0,3,4,3,2,4,3,3,4,2,4,4,2,2,2,1,1,2,1,3,3,1,2,1,1,1,1,1,3,1,2,2,1,1,3,6,6,5,5,2,3,2,3,2,2,3,3,3,2,4,4,1,4,2,4,2,4,1,1,1,1,1,0,1,0,1,0,0,0,2,3,2,4,4,3,1,4,4,5,3,3,5,4,4,3,2,3,2,4,3,2,3,1,3,3,3,4,3,3,4,3,3,4,4,4,3,5,3,2,3,19,20,21,10,25,27,38,5,63,18 - 29,18 - 24,completed high school,1,0.45042053466792586,1.0712535180383798e-5,7.115848991968772
179,FEMALES,45,REMARRIED,NO,SOME ADDITIONAL TRAINING,LIFE IN GENERAL,NO,0,2,3,1,3,4,3,1,2,3,2,3,2,2,2,4,4,3,1,2,2,4,2,1,2,1,1,2,1,1,1,1,3,1,6,6,6,6,6,3,3,3,4,3,3,4,4,4,3,3,3,1,3,2,3,3,2,1,1,1,1,1,0,1,0,1,0,1,0,2,2,4,3,3,2,3,3,3,4,2,3,3,2,3,2,4,4,3,3,3,4,2,3,3,3,2,3,2,2,4,3,2,4,4,4,4,3,4,3,4,16,20,16,23,30,28,31,6,60,45+,41 - 49,some additional training,1.3617278360175928,0.24143796982313157,1.92758503114517e-7,7.11583935255855
